OBJECTID,KOM_NAMN,ID,Shape_Area,Shape_Length,,KOMMUNID_txt
78,Högsby,821,802751104.54.00,4665787.23.00,,821
79,Torsås,834,509726113.59.00,11324618.44.00,,834
80,Mörbylånga,840,807567102.58.00,4461592.41.00,,840
81,Hultsfred,860,1192061725.38257,15763180.24.00,,860
82,Mönsterås,861,945169638.372803,7930907.46.00,,861
83,Emmaboda,862,721837791.41.00,535350.54.00,,862
84,Kalmar,880,1079714748.69214,442412.36.00,,880
85,Nybro,881,1206524653.61353,6155659.12.00,,881
86,Oskarshamn,882,1338485597.17505,1600937.19.00,,882
87,Västervik,883,2499200894.0459,455646.02.00,,883
88,Vimmerby,884,1225060536.4165,12362817.53.00,,884
89,Borgholm,885,939539943.014648,16088947.54.00,,885
90,Gotland,980,3704231091.81299,552302.19.00,,980
91,Olofström,1060,414996282.27.00,5633646.04.00,,1060
92,Karlskrona,1080,1298687845.79248,1706600.27.00,,1080
93,Ronneby,1081,957502154.29834,10118618.35.00,,1081
94,Karlshamn,1082,568528929.08.00,7822036.08.00,,1082
95,Sölvesborg,1083,255692569.12.00,1783889.22.00,,1083
96,Svalöv,1214,390585453.55.00,6581190.26.00,,1214
97,Staffanstorp,1230,107752525.52.00,64805.2867541827,,1230
98,Burlöv,1231,19365643.35.00,771752.53.00,,1231
99,Vellinge,1233,199300883.27.00,5933046.03.00,,1233
100,Östra Göinge,1256,452909365.38.00,142676.07.00,,1256
101,Örkelljunga,1257,331039370.06.00,16397215.19.00,,1257
102,Bjuv,1260,116400349.18.00,10872258.13.00,,1260
103,Kävlinge,1261,173529820.05.00,80577.7684529106,,1261
104,Lomma,1262,67071675.57.00,46146.4908977367,,1262
105,Svedala,1263,227404500.19.00,11317913.19.00,,1263
106,Skurup,1264,201160480.27.00,93560.3834532207,,1264
107,Sjöbo,1265,508629849.47.00,4337413.33.00,,1265
